target_name,run,gen,X_L,X_F,X_B,X_C,f_L,f_F,f_B,f_C,mean_fitness,mean_p_F_given_L,mean_p_L_given_F,mean_p_L_given_B,CM
1B,0,92,0.45,0.22,0.24,0.09,0.003594,0.005582,0.485192,0.505632,0.011995323954008605,0.9688480814517152,0.03149730369650848,0.001581717292960835,0.009176
1B,0,93,0.45,0.22,0.24,0.09,0.003372,0.004952,0.485512,0.506164,0.012002089781411764,0.969280307144983,0.02989496935042289,0.0014252868034594344,0.008324
1B,0,94,0.45,0.22,0.24,0.09,0.003424,0.00542,0.485346,0.50581,0.012000382597839731,0.9692471662327593,0.02888081767097057,0.0012570156718868443,0.008844000000000001
1B,0,95,0.45,0.22,0.24,0.09,0.003292,0.00515,0.485492,0.506066,0.012004077639519285,0.9702112908723873,0.02980016554450966,0.001293191760229218,0.008442
1B,0,96,0.45,0.22,0.24,0.09,0.0034,0.005,0.485512,0.506088,0.012002618620006731,0.9701825148311124,0.02867369805808478,0.0015713972839801267,0.0084
1B,0,97,0.45,0.22,0.24,0.09,0.003652,0.005234,0.485262,0.505852,0.011999049503803018,0.9711517866051277,0.02980746056504842,0.0018770177299714124,0.008886
1B,0,98,0.45,0.22,0.24,0.09,0.00356,0.005404,0.485264,0.505772,0.011996025522461692,0.9693523539959417,0.02792590142869679,0.0017262293825572432,0.008964
1B,0,99,0.45,0.22,0.24,0.09,0.003626,0.005756,0.485116,0.505502,0.011993249379401046,0.9705766275794372,0.026871600442700774,0.0016496053864759907,0.009382
1B,0,100,0.45,0.22,0.24,0.09,0.003336,0.00491,0.485546,0.506208,0.012005751055293206,0.9715405637710072,0.025010679872393006,0.0015475408915043688,0.008246
1B,0,101,0.45,0.22,0.24,0.09,0.0036,0.00536,0.485252,0.505788,0.011996779511293167,0.9710306059742031,0.023111355585875088,0.0015425753438932277,0.00896
1B,0,102,0.45,0.22,0.24,0.09,0.003428,0.004624,0.485606,0.506342,0.012004555936644536,0.9698171144245241,0.02307711108546537,0.0014475451015532857,0.008052
1B,0,103,0.45,0.22,0.24,0.09,0.003322,0.004346,0.48579,0.506542,0.012009644865758557,0.9703447133675791,0.023164259047294754,0.0013194848516982337,0.0076679999999999995
1B,0,104,0.45,0.22,0.24,0.09,0.003254,0.00435,0.48583,0.506566,0.012009189946005847,0.9704942356846925,0.022118563752418673,0.0011720219230987922,0.007604
1B,0,105,0.45,0.22,0.24,0.09,0.003254,0.004524,0.485746,0.506476,0.01200696681172981,0.9699222852184917,0.02137497594641767,0.0012551982648435114,0.007778
1B,0,106,0.45,0.22,0.24,0.09,0.003326,0.00437,0.485788,0.506516,0.012008135161629279,0.9705604322870925,0.021080303800867093,0.001258112208625822,0.007696
1B,0,107,0.45,0.22,0.24,0.09,0.003372,0.004744,0.485606,0.506278,0.012005812425847834,0.9704739629924883,0.021913220503540266,0.0013435637412842723,0.008116
1B,0,108,0.45,0.22,0.24,0.09,0.003186,0.004534,0.485788,0.506492,0.012010071548533575,0.9686453715052985,0.022374065565115474,0.0011411328161238517,0.007719999999999999
1B,0,109,0.45,0.22,0.24,0.09,0.003366,0.004702,0.485628,0.506304,0.012006354495796134,0.9679697710407001,0.021290172996195948,0.0012735079589811852,0.008067999999999999
1B,0,110,0.45,0.22,0.24,0.09,0.003342,0.004508,0.485708,0.506442,0.012007747221480541,0.9677477280984095,0.02080612212496678,0.0013677629323267538,0.00785
1B,0,111,0.45,0.22,0.24,0.09,0.003498,0.005098,0.485396,0.506008,0.012000947427088605,0.9669112731498404,0.023238578500561703,0.0015829024449713247,0.008596
1B,0,112,0.45,0.22,0.24,0.09,0.003586,0.00547,0.485222,0.505722,0.011997797867292556,0.9665346277081958,0.0218760322864,0.0018598204748873656,0.009056
1B,0,113,0.45,0.22,0.24,0.09,0.003482,0.004734,0.485546,0.506238,0.012001978750764714,0.9669103779617976,0.0222966857808876,0.0015362529154671174,0.008216000000000001
1B,0,114,0.45,0.22,0.24,0.09,0.003366,0.00458,0.485652,0.506402,0.012007380012008649,0.9687542683011885,0.021968330467218102,0.0013185889487756966,0.007946
1B,0,115,0.45,0.22,0.24,0.09,0.003264,0.004578,0.485716,0.506442,0.012005288327231285,0.9695542443676255,0.023346500186557463,0.0013009403180664998,0.007842
1B,0,116,0.45,0.22,0.24,0.09,0.003126,0.004408,0.485844,0.506622,0.012009712295399511,0.9700341242750905,0.022899095192886555,0.0012119946783011092,0.007533999999999999
1B,0,117,0.45,0.22,0.24,0.09,0.00329,0.004692,0.485676,0.506342,0.01200956101576384,0.9708860624172051,0.022470620643517274,0.001213280033018894,0.007982
1B,0,118,0.45,0.22,0.24,0.09,0.003262,0.004408,0.485774,0.506556,0.012008208250072339,0.9681892836246198,0.022871500379049153,0.0011664764326770021,0.00767
1B,0,119,0.45,0.22,0.24,0.09,0.0035,0.004832,0.485502,0.506166,0.012002701111102123,0.9674009690390424,0.022078430151612708,0.001457656735729011,0.008332
1B,0,120,0.45,0.22,0.24,0.09,0.003024,0.004132,0.48603,0.506814,0.012015149889215287,0.9674390924550503,0.02241409944397485,0.0009018353589905023,0.007156000000000001
1B,0,121,0.45,0.22,0.24,0.09,0.003444,0.004748,0.48557,0.506238,0.012005352817531588,0.9693925746106488,0.021259256801238684,0.001276886155632214,0.008192
1B,0,122,0.45,0.22,0.24,0.09,0.003348,0.004424,0.485734,0.506494,0.012009575775265869,0.9676440350208476,0.020714135071844615,0.001429123406292328,0.007771999999999999
1B,0,123,0.45,0.22,0.24,0.09,0.003398,0.00486,0.48554,0.506202,0.012003981734965481,0.9683842225051599,0.01962864697694058,0.0014231822209030151,0.008258
1B,0,124,0.45,0.22,0.24,0.09,0.003346,0.004502,0.48571,0.506442,0.012008087813032049,0.9663628508321214,0.018532838747840643,0.0012427241753271026,0.007848
1B,0,125,0.45,0.22,0.24,0.09,0.003396,0.004682,0.485622,0.5063,0.012005465942559695,0.9659174817783448,0.019524959415419346,0.0012201021317724636,0.008078
1B,0,126,0.45,0.22,0.24,0.09,0.00321,0.004508,0.485794,0.506488,0.012008923457611537,0.9673184772763386,0.019790746796705293,0.001068371357781419,0.007718
1B,0,127,0.45,0.22,0.24,0.09,0.003422,0.004444,0.485696,0.506438,0.012005256160478634,0.9697428253713254,0.019877159292167386,0.0012187897810845437,0.007866
1B,0,128,0.45,0.22,0.24,0.09,0.003266,0.004348,0.48582,0.506566,0.01200857688375245,0.971657234544786,0.02087258291291958,0.001184544847577317,0.007614
1B,0,129,0.45,0.22,0.24,0.09,0.003332,0.004446,0.485714,0.506508,0.012008331616736439,0.970174894001325,0.01971404653078983,0.0015597959610591516,0.007778
1B,0,130,0.45,0.22,0.24,0.09,0.003404,0.00463,0.485624,0.506342,0.012005350169571322,0.9724238744092247,0.019989438090365973,0.0014710521578752945,0.008034
1B,0,131,0.45,0.22,0.24,0.09,0.003238,0.004178,0.485916,0.506668,0.012010158576750975,0.972231214321316,0.018057473190638485,0.0010260888915800761,0.007416000000000001
1B,0,132,0.45,0.22,0.24,0.09,0.003254,0.00396,0.485946,0.50684,0.012010118242362849,0.9708398062375247,0.017107690439668425,0.001450196273703919,0.007214
1B,0,133,0.45,0.22,0.24,0.09,0.00332,0.004526,0.485706,0.506448,0.012008141969971445,0.9716784916618466,0.01568716446404717,0.0014365752795258374,0.007845999999999999
1B,0,134,0.45,0.22,0.24,0.09,0.00334,0.00444,0.48572,0.5065,0.012006484186894895,0.9690075874356043,0.01662810496529729,0.001582551267805651,0.0077800000000000005
1B,0,135,0.45,0.22,0.24,0.09,0.00312,0.00408,0.485986,0.506814,0.012014157488274306,0.9665004415445007,0.01667029892793948,0.0011450155230160461,0.0072
1B,0,136,0.45,0.22,0.24,0.09,0.003448,0.004936,0.485486,0.50613,0.012002879799928144,0.9641697641932978,0.017850963564548288,0.0015870907453722862,0.008384
1B,0,137,0.45,0.22,0.24,0.09,0.003436,0.005396,0.485346,0.505822,0.011999100089516027,0.9641319920426854,0.018686012010476722,0.0014865625659634325,0.008832
1B,0,138,0.45,0.22,0.24,0.09,0.003374,0.004688,0.48562,0.506318,0.012004768984775484,0.9631355619957345,0.01874206269802736,0.0014690262959819742,0.008062
1B,0,139,0.45,0.22,0.24,0.09,0.00353,0.004882,0.485452,0.506136,0.012001362776599375,0.9647820910332473,0.018567693629252653,0.0015145445171472127,0.008412
1B,0,140,0.45,0.22,0.24,0.09,0.003286,0.00442,0.48576,0.506534,0.012007290173963892,0.9653212667317925,0.017026370808400002,0.0013971666827784451,0.007706
1B,0,141,0.45,0.22,0.24,0.09,0.002964,0.004088,0.486078,0.50687,0.012016812153573489,0.966661032364433,0.017206662170345673,0.0009299193811680697,0.007051999999999999
1B,0,142,0.45,0.22,0.24,0.09,0.003118,0.0044,0.485866,0.506616,0.012012108172095857,0.9668076970573216,0.019101472104264442,0.0011172576563868223,0.007518
1B,0,143,0.45,0.22,0.24,0.09,0.003118,0.004088,0.485988,0.506806,0.012013661446741312,0.9660458399297327,0.01874229952683121,0.001151110160568391,0.007206
1B,0,144,0.45,0.22,0.24,0.09,0.003512,0.005384,0.485298,0.505806,0.011999240861972339,0.9668577616180941,0.0182520283712926,0.001471942315869783,0.008896
1B,0,145,0.45,0.22,0.24,0.09,0.003448,0.005028,0.48546,0.506064,0.012001148789762103,0.9685051673619852,0.018954472582508198,0.0016298133435723604,0.008476000000000001
1B,0,146,0.45,0.22,0.24,0.09,0.003462,0.004762,0.485538,0.506238,0.01200531424748001,0.9695061727432519,0.01949805968199507,0.0015464708660452753,0.008223999999999999
1B,0,147,0.45,0.22,0.24,0.09,0.003092,0.004684,0.48576,0.506464,0.012011865877967896,0.9691624926795487,0.018254427661846706,0.0012786738206522089,0.007776
1B,0,148,0.45,0.22,0.24,0.09,0.00322,0.00427,0.485868,0.506642,0.012010789799456367,0.9681046877951218,0.01803753061647783,0.0010473054921828929,0.00749
1B,0,149,0.45,0.22,0.24,0.09,0.003066,0.004048,0.48603,0.506856,0.012013799149663185,0.9662067632562186,0.017951324073008066,0.0011792781676191826,0.0071140000000000005
1B,0,150,0.45,0.22,0.24,0.09,0.003536,0.00478,0.485506,0.506178,0.01200278622434767,0.9678519533474064,0.020348531670433316,0.0014165288599917857,0.008316
1B,0,151,0.45,0.22,0.24,0.09,0.00337,0.004804,0.485584,0.506242,0.012005103432512819,0.9661945562582299,0.019928696912718744,0.0013270135280853026,0.008174
1B,0,152,0.45,0.22,0.24,0.09,0.003542,0.005154,0.48534,0.505964,0.011999307888631947,0.9661478655843808,0.01805279706442636,0.001686976365571712,0.008695999999999999
1B,0,153,0.45,0.22,0.24,0.09,0.003472,0.00477,0.485528,0.50623,0.012003348791405277,0.965319990686912,0.018488647605399863,0.001629838459764064,0.008242
1B,0,154,0.45,0.22,0.24,0.09,0.003434,0.004758,0.485572,0.506236,0.012003403127082684,0.9638743404991438,0.01906262703341523,0.0012849175194649173,0.008192
1B,0,155,0.45,0.22,0.24,0.09,0.003512,0.0046,0.485598,0.50629,0.012004541298015398,0.9635891976340426,0.020379444480718115,0.0013772485799161127,0.008112
1B,0,156,0.45,0.22,0.24,0.09,0.00347,0.004836,0.485514,0.50618,0.012001552429795819,0.9637525824430091,0.02004291611270579,0.001530032377831473,0.008306000000000001
1B,0,157,0.45,0.22,0.24,0.09,0.003648,0.005308,0.485236,0.505808,0.011998869895353937,0.9657136622206404,0.01859100319418696,0.0016723830471080782,0.008956
1B,0,158,0.45,0.22,0.24,0.09,0.003188,0.004682,0.485716,0.506414,0.012007327918924574,0.9676673985313401,0.01933416729041332,0.0012569375855677495,0.00787
1B,0,159,0.45,0.22,0.24,0.09,0.003372,0.0046,0.485664,0.506364,0.01200554687059175,0.9685687212113568,0.018937323773157554,0.001311049326734407,0.007972
