target_name,run,gen,X_L,X_F,X_B,X_C,f_L,f_F,f_B,f_C,mean_fitness,mean_p_F_given_L,mean_p_L_given_F,mean_p_L_given_B,CM
2A,0,95,0.38,0.15,0.11,0.36,0.10441,0.628058,0.178124,0.089408,0.010662848417942093,0.9939853347948323,0.0018528862431004191,0.6223247084572611,0.732468
2A,0,96,0.38,0.15,0.11,0.36,0.104846,0.621434,0.181256,0.092464,0.010628651296322093,0.9939271369614864,0.0019491109342510394,0.6137009811051479,0.72628
2A,0,97,0.38,0.15,0.11,0.36,0.105336,0.625164,0.178832,0.090668,0.010637262605507375,0.994228635645118,0.0019763316793944465,0.6199682927001512,0.7305
2A,0,98,0.38,0.15,0.11,0.36,0.107658,0.619814,0.180158,0.09237,0.010591061545482486,0.9943650605099423,0.001879245728321599,0.6301402170283006,0.727472
2A,0,99,0.38,0.15,0.11,0.36,0.10744,0.624636,0.17794,0.089984,0.010615707327290854,0.994765473675161,0.0015414650592269934,0.6385878913689755,0.732076
2A,0,100,0.38,0.15,0.11,0.36,0.106814,0.629834,0.175498,0.087854,0.010644291389944039,0.9952355352258438,0.0016459420687727716,0.6406177319928625,0.736648
2A,0,101,0.38,0.15,0.11,0.36,0.108638,0.628746,0.174986,0.08763,0.010621895059173799,0.994543349280598,0.0014976928427735594,0.6490993083538231,0.737384
2A,0,102,0.38,0.15,0.11,0.36,0.11007,0.62457,0.176186,0.089174,0.010587826187428217,0.9945945661994345,0.0018152879175802807,0.6521882992697715,0.73464
2A,0,103,0.38,0.15,0.11,0.36,0.109448,0.628018,0.174694,0.08784,0.010607820420797987,0.9945569963456031,0.0017041787019543956,0.6519370236749931,0.737466
2A,0,104,0.38,0.15,0.11,0.36,0.10748,0.634164,0.172834,0.085522,0.010658427466569023,0.9945544882561456,0.0020581803691556337,0.642716093910251,0.741644
2A,0,105,0.38,0.15,0.11,0.36,0.107648,0.62457,0.177572,0.09021,0.010610186844300156,0.9946131612766571,0.0016888964222032516,0.6298542202480287,0.7322179999999999
2A,0,106,0.38,0.15,0.11,0.36,0.10599,0.626074,0.177954,0.089982,0.01063514291114025,0.9949408260488076,0.001800100698038039,0.6255273015999774,0.732064
2A,0,107,0.38,0.15,0.11,0.36,0.10598,0.626338,0.177858,0.089824,0.010637507223697003,0.9941129404648287,0.0016463982709389857,0.6250217484354476,0.7323179999999999
2A,0,108,0.38,0.15,0.11,0.36,0.107528,0.620212,0.179956,0.092304,0.010591802636411084,0.9946165162769072,0.0013678669042197066,0.6282824034911436,0.7277399999999999
2A,0,109,0.38,0.15,0.11,0.36,0.10707,0.626516,0.177114,0.0893,0.010627250819477522,0.994597043778156,0.0017294606950608786,0.6317265280429326,0.733586
2A,0,110,0.38,0.15,0.11,0.36,0.108464,0.625842,0.176442,0.089252,0.010608152551408845,0.9940307921754936,0.001907433971413076,0.6364441067654799,0.734306
2A,0,111,0.38,0.15,0.11,0.36,0.110756,0.627618,0.174198,0.087428,0.010593825085922244,0.9942259486121622,0.001679931562225902,0.6531208991681405,0.738374
2A,0,112,0.38,0.15,0.11,0.36,0.109734,0.627964,0.17463,0.087672,0.010606602211102122,0.9945590131028502,0.001654781234467749,0.6541555471018159,0.737698
2A,0,113,0.38,0.15,0.11,0.36,0.10751,0.624346,0.177958,0.090186,0.01061302344072189,0.9945302705750783,0.0016300507255255527,0.6340360988902015,0.731856
2A,0,114,0.38,0.15,0.11,0.36,0.108076,0.62582,0.17679,0.089314,0.01061385162161713,0.9946036221679792,0.0017695399500734918,0.6394795434132853,0.7338960000000001
2A,0,115,0.38,0.15,0.11,0.36,0.10558,0.62511,0.17871,0.0906,0.010634611611506032,0.9940256346923072,0.001890939363416435,0.6195086937119972,0.7306900000000001
2A,0,116,0.38,0.15,0.11,0.36,0.105316,0.620536,0.181172,0.092976,0.010615326334379368,0.9945411542188183,0.002033963793758564,0.6108454308568553,0.7258519999999999
2A,0,117,0.38,0.15,0.11,0.36,0.106138,0.625766,0.17811,0.089986,0.010634904637660359,0.9946946498827635,0.0018982095206494113,0.6197765786673641,0.731904
2A,0,118,0.38,0.15,0.11,0.36,0.105942,0.627606,0.177222,0.08923,0.010641629680797028,0.9943164387891952,0.0018174414534269637,0.6279860883646736,0.733548
2A,0,119,0.38,0.15,0.11,0.36,0.1046,0.623134,0.180462,0.091804,0.010637313262692507,0.9945705636720659,0.0017577383272772815,0.6133435668962159,0.727734
2A,0,120,0.38,0.15,0.11,0.36,0.105308,0.622966,0.180044,0.091682,0.01062923154846187,0.9948458573884873,0.002277458561150986,0.6185002337248121,0.728274
2A,0,121,0.38,0.15,0.11,0.36,0.107472,0.623196,0.178542,0.09079,0.010608211288338684,0.9943934589356156,0.002436710494546333,0.6328546138918048,0.730668
2A,0,122,0.38,0.15,0.11,0.36,0.105348,0.622242,0.180392,0.092018,0.010624051161637072,0.9935830953919667,0.002205202141103501,0.6221078945612557,0.72759
2A,0,123,0.38,0.15,0.11,0.36,0.106524,0.624088,0.17879,0.090598,0.010622719666966613,0.993116100838817,0.0015706453759232525,0.6306814270682941,0.7306119999999999
2A,0,124,0.38,0.15,0.11,0.36,0.106032,0.621094,0.180546,0.092328,0.010613620943189716,0.9932937470684378,0.0014841737233543522,0.6243091067557398,0.727126
2A,0,125,0.38,0.15,0.11,0.36,0.104824,0.619694,0.182054,0.093428,0.010616410320601751,0.9934409659848298,0.0014512211748892616,0.6142283909293613,0.724518
2A,0,126,0.38,0.15,0.11,0.36,0.105752,0.624648,0.1789,0.0907,0.010630907308306167,0.9931567222587286,0.0015712783232709943,0.6283223820498063,0.7303999999999999
2A,0,127,0.38,0.15,0.11,0.36,0.108378,0.62052,0.179344,0.091758,0.010586386360068822,0.9939552097517094,0.0016580110345575316,0.636221449602311,0.7288979999999999
2A,0,128,0.38,0.15,0.11,0.36,0.107344,0.6163,0.182234,0.094122,0.010577609755685731,0.9936109055453517,0.0016660066600715714,0.6287690213599191,0.723644
2A,0,129,0.38,0.15,0.11,0.36,0.108282,0.622504,0.1784,0.090814,0.010596885554053992,0.9932043128721766,0.0017268659955782732,0.6423917715759779,0.7307859999999999
2A,0,130,0.38,0.15,0.11,0.36,0.10831,0.624354,0.177524,0.089812,0.010605529710863367,0.9939247033394447,0.0016545339712404866,0.6464039499161417,0.732664
2A,0,131,0.38,0.15,0.11,0.36,0.109598,0.62147,0.178014,0.090918,0.010577715515623412,0.9935948885942375,0.0017972671522948089,0.6493384984779549,0.7310679999999999
2A,0,132,0.38,0.15,0.11,0.36,0.10793,0.6267,0.17653,0.08884,0.010619341967860844,0.9939932070589201,0.0015511698453046505,0.6389300754597997,0.73463
2A,0,133,0.38,0.15,0.11,0.36,0.107402,0.625332,0.177544,0.089722,0.010618364184772027,0.9929394861889005,0.001649573706965878,0.6397731186519601,0.732734
2A,0,134,0.38,0.15,0.11,0.36,0.107894,0.620094,0.17993,0.092082,0.010590442068851992,0.9936113895331673,0.0013181786668349643,0.6372953697199404,0.7279880000000001
2A,0,135,0.38,0.15,0.11,0.36,0.10763,0.621398,0.179528,0.091444,0.010600556360530299,0.9935653844842293,0.0016047150065018707,0.6349371081524601,0.729028
2A,0,136,0.38,0.15,0.11,0.36,0.107588,0.624372,0.177974,0.090066,0.010613767205713663,0.993517970452478,0.0014421579300871086,0.6397800221981137,0.73196
2A,0,137,0.38,0.15,0.11,0.36,0.103814,0.61961,0.18264,0.093936,0.010626845686447148,0.992855826770236,0.0016097508109003493,0.6077793668409398,0.723424
2A,0,138,0.38,0.15,0.11,0.36,0.107404,0.618208,0.181128,0.09326,0.010585425668197299,0.9927203091645627,0.0014337519068788674,0.6304403512533473,0.7256119999999999
2A,0,139,0.38,0.15,0.11,0.36,0.1058,0.620058,0.181292,0.09285,0.010611292783841018,0.9923648661913123,0.0015001191015324132,0.62006136369782,0.725858
2A,0,140,0.38,0.15,0.11,0.36,0.10632,0.6228,0.179672,0.091208,0.010620402243796732,0.9926889204754504,0.001622001438396427,0.627818288702512,0.72912
2A,0,141,0.38,0.15,0.11,0.36,0.10671,0.621488,0.1799,0.091902,0.010607875608706411,0.9927740795579418,0.0015831245566292095,0.6274554679046728,0.728198
2A,0,142,0.38,0.15,0.11,0.36,0.108486,0.623868,0.177582,0.090064,0.010600819552216444,0.9925557141437591,0.0017997559085721785,0.6427145815961995,0.732354
2A,0,143,0.38,0.15,0.11,0.36,0.10646,0.623948,0.1789,0.090692,0.010623129632790053,0.9928270974824928,0.002143041951883559,0.633416226659697,0.730408
2A,0,144,0.38,0.15,0.11,0.36,0.10702,0.622066,0.17942,0.091494,0.01060664513538919,0.9935284608800298,0.0013416817055909589,0.6365660758066528,0.729086
2A,0,145,0.38,0.15,0.11,0.36,0.107508,0.620354,0.180054,0.092084,0.010594787879705496,0.9929406687370397,0.0016366857233397806,0.6341940470905675,0.727862
2A,0,146,0.38,0.15,0.11,0.36,0.108318,0.6243,0.177502,0.08988,0.010605765472503893,0.9934693161472764,0.0018333208915095477,0.6395486198991782,0.732618
2A,0,147,0.38,0.15,0.11,0.36,0.109056,0.629114,0.174546,0.087284,0.010618681221989803,0.9938626452701885,0.0022688034168745538,0.6493798576074575,0.73817
2A,0,148,0.38,0.15,0.11,0.36,0.108144,0.62533,0.176896,0.08963,0.010610514807121671,0.993249186076608,0.0017895958965813677,0.6410276160724339,0.7334740000000001
2A,0,149,0.38,0.15,0.11,0.36,0.110288,0.625828,0.1753,0.088584,0.010589314721032445,0.9922441863979482,0.0017857267466735657,0.6521382508012323,0.736116
2A,0,150,0.38,0.15,0.11,0.36,0.108526,0.628622,0.175084,0.087768,0.010622630821932983,0.9918872241197716,0.0017516194412204194,0.643913428632932,0.737148
2A,0,151,0.38,0.15,0.11,0.36,0.108752,0.621588,0.178594,0.091066,0.010587513265892742,0.9925236298947397,0.0015238402062172098,0.6338937369737869,0.73034
2A,0,152,0.38,0.15,0.11,0.36,0.107134,0.62107,0.179756,0.09204,0.010600125629284654,0.992851197917431,0.0015632990535614484,0.6282605379026049,0.728204
2A,0,153,0.38,0.15,0.11,0.36,0.105396,0.619804,0.1816,0.0932,0.010613377428248942,0.9932710822020767,0.0015927935627239064,0.6125408621582742,0.7252000000000001
2A,0,154,0.38,0.15,0.11,0.36,0.10754,0.622628,0.178596,0.091236,0.010601638527499221,0.9925665358713296,0.0012219880334583667,0.6277547080980242,0.7301679999999999
2A,0,155,0.38,0.15,0.11,0.36,0.10506,0.631408,0.175808,0.087724,0.010669248957612414,0.9932225873742943,0.0014433896608500721,0.6227784847574733,0.736468
2A,0,156,0.38,0.15,0.11,0.36,0.10673,0.62691,0.177002,0.089358,0.01063142688693993,0.9940911629571676,0.0015485909430707795,0.624894109976849,0.73364
2A,0,157,0.38,0.15,0.11,0.36,0.104916,0.62766,0.177746,0.089678,0.010651773592080664,0.994897590797741,0.0016367065831644427,0.6165181306640775,0.732576
2A,0,158,0.38,0.15,0.11,0.36,0.104736,0.628856,0.177286,0.089122,0.010660636844963654,0.9952570671911728,0.0018383689176916036,0.6144737868834632,0.733592
2A,0,159,0.38,0.15,0.11,0.36,0.105824,0.626252,0.17794,0.089984,0.010636651502589562,0.995870721569033,0.0016156437284979579,0.6167838913956923,0.7320760000000001
