target_name,run,generation,X_L,X_F,X_B,X_C,mean_risk,mean_fitness,p_F_given_L,p_L_given_F,p_L_given_B,f_L,f_F,f_B,f_C,CM,expected_p_F_given_L,expected_p_L_given_F,expected_p_L_given_B,expected_f_L,expected_f_F,expected_f_B,expected_f_C,expected_CM
Figure 2B,0,77,0.25,0.19,0.03,0.53,0.19930972,-0.19930972,0.9371561468527175,0.014376147583018055,0.5044907917734981,0.09320799999999968,0.6120059999999995,0.19301999999999955,0.10176599999999977,0.7052139999999991,0.94,0.01,0.1,0.04,0.28,0.37,0.31,0.31
Figure 2B,0,78,0.25,0.19,0.03,0.53,0.19896799999999998,-0.19896799999999998,0.9372773810549749,0.014459545797764761,0.5057769045954371,0.09317999999999962,0.6158400000000002,0.19111199999999942,0.09986799999999976,0.7090199999999998,0.94,0.01,0.1,0.04,0.28,0.37,0.31,0.31
Figure 2B,0,79,0.25,0.19,0.03,0.53,0.1992922,-0.1992922,0.9380507774548135,0.014854176095218895,0.5033784695739183,0.09337799999999963,0.6123439999999999,0.1927299999999995,0.10154799999999994,0.7057219999999995,0.94,0.01,0.1,0.04,0.28,0.37,0.31,0.31
Figure 2B,0,80,0.25,0.19,0.03,0.53,0.19892252,-0.19892252,0.9401846075863736,0.014768879166373679,0.507516090769104,0.09340199999999957,0.616787999999999,0.19043399999999952,0.09937599999999969,0.7101899999999985,0.94,0.01,0.1,0.04,0.28,0.37,0.31,0.31
Figure 2B,0,81,0.25,0.19,0.03,0.53,0.19933188000000002,-0.19933188000000002,0.939058514110248,0.0143483679704915,0.5037561159883599,0.09209599999999962,0.6118359999999995,0.19371399999999978,0.10235399999999964,0.7039319999999991,0.94,0.01,0.1,0.04,0.28,0.37,0.31,0.31
Figure 2B,0,82,0.25,0.19,0.03,0.53,0.19972108,-0.19972108,0.9410253637211178,0.014206890106515628,0.4999548583974157,0.09180599999999986,0.6072359999999991,0.19622599999999935,0.10473199999999953,0.6990419999999989,0.94,0.01,0.1,0.04,0.28,0.37,0.31,0.31
Figure 2B,0,83,0.25,0.19,0.03,0.53,0.19958172,-0.19958172,0.9417208040469124,0.013991844737913733,0.503513622642058,0.09248599999999968,0.6085800000000003,0.19520999999999963,0.10372399999999965,0.701066,0.94,0.01,0.1,0.04,0.28,0.37,0.31,0.31
Figure 2B,0,84,0.25,0.19,0.03,0.53,0.19938124,-0.19938124,0.9430281219088722,0.014208632712001163,0.505781297587324,0.09259799999999961,0.6111480000000006,0.19380199999999967,0.10245199999999974,0.7037460000000002,0.94,0.01,0.1,0.04,0.28,0.37,0.31,0.31
Figure 2B,0,85,0.25,0.19,0.03,0.53,0.20004636,-0.20004636,0.943495790674682,0.014309946856118692,0.505402953436532,0.09257399999999975,0.6032380000000004,0.19786399999999962,0.10632399999999978,0.6958120000000001,0.94,0.01,0.1,0.04,0.28,0.37,0.31,0.31
Figure 2B,0,86,0.25,0.19,0.03,0.53,0.20014488,-0.20014488,0.9447866871193552,0.014233958091902324,0.5103024037680524,0.09380999999999969,0.602648000000001,0.1973759999999995,0.10616599999999964,0.6964580000000007,0.94,0.01,0.1,0.04,0.28,0.37,0.31,0.31
Figure 2B,0,87,0.25,0.19,0.03,0.53,0.19971312,-0.19971312,0.9455604518207823,0.014466868367454278,0.5104311587187053,0.0926359999999997,0.6069199999999993,0.19599199999999953,0.10445199999999982,0.6995559999999991,0.94,0.01,0.1,0.04,0.28,0.37,0.31,0.31
Figure 2B,0,88,0.25,0.19,0.03,0.53,0.19909064,-0.19909064,0.9465878672272514,0.014515840029090555,0.5175322242993168,0.09298399999999969,0.6139760000000005,0.1922439999999997,0.10079599999999987,0.7069600000000003,0.94,0.01,0.1,0.04,0.28,0.37,0.31,0.31
Figure 2B,0,89,0.25,0.19,0.03,0.53,0.19903508,-0.19903508,0.9460045523395401,0.014607754321309643,0.5186593702385772,0.09303199999999978,0.6151939999999991,0.1914999999999997,0.10027399999999972,0.7082259999999989,0.94,0.01,0.1,0.04,0.28,0.37,0.31,0.31
Figure 2B,0,90,0.25,0.19,0.03,0.53,0.19897488000000002,-0.19897488000000002,0.9464063941473075,0.014387304802854387,0.5229777534355052,0.09336799999999962,0.6157619999999998,0.19104599999999972,0.09982399999999966,0.7091299999999994,0.94,0.01,0.1,0.04,0.28,0.37,0.31,0.31
Figure 2B,0,91,0.25,0.19,0.03,0.53,0.19921928,-0.19921928,0.9453870244860064,0.013787224226274762,0.527329510423636,0.09519399999999961,0.6136099999999997,0.19099799999999978,0.10019799999999981,0.7088039999999993,0.94,0.01,0.1,0.04,0.28,0.37,0.31,0.31
Figure 2B,0,92,0.25,0.19,0.03,0.53,0.19928811999999999,-0.19928811999999999,0.9455159063468558,0.013713369126500159,0.5248846994435126,0.09463799999999974,0.6121360000000007,0.1921739999999995,0.10105199999999973,0.7067740000000005,0.94,0.01,0.1,0.04,0.28,0.37,0.31,0.31
