target_name,generation,X_L,X_F,X_B,X_C,mean_risk,mean_fitness,p_F_given_L,p_L_given_F,p_L_given_B,f_L,f_F,f_B,f_C,CM,expected_p_F_given_L,expected_p_L_given_F,expected_p_L_given_B,expected_f_L,expected_f_F,expected_f_B,expected_f_C,expected_CM
Figure 2A,260,0.38,0.15,0.11,0.36,0.1805345,-0.1805345,0.8853804389724945,0.03202845503550204,0.004106773754024253,0.003980000000000003,0.007560000000000006,0.7118299999999996,0.27662999999999993,0.011540000000000009,1.0,0.0,0.27,0.07,0.5,0.26,0.17,0.57
Figure 2A,270,0.38,0.15,0.11,0.36,0.18042479999999997,-0.18042479999999997,0.8809066175540481,0.03504257612336863,0.0036262551218587996,0.0031000000000000016,0.005570000000000004,0.7138699999999993,0.27746000000000004,0.008670000000000006,1.0,0.0,0.27,0.07,0.5,0.26,0.17,0.57
Figure 2A,280,0.38,0.15,0.11,0.36,0.1804797,-0.1804797,0.8876573364652265,0.036360413039656675,0.003834015379703578,0.0034900000000000018,0.006560000000000005,0.7128499999999994,0.2771,0.010050000000000007,1.0,0.0,0.27,0.07,0.5,0.26,0.17,0.57
Figure 2A,290,0.38,0.15,0.11,0.36,0.18057030000000002,-0.18057030000000002,0.8779428087065443,0.033622448719114455,0.0043991978315591086,0.003980000000000003,0.006580000000000005,0.7125099999999995,0.27693000000000006,0.010560000000000007,1.0,0.0,0.27,0.07,0.5,0.26,0.17,0.57
Figure 2A,300,0.38,0.15,0.11,0.36,0.18051289999999998,-0.18051289999999998,0.871274625440434,0.03567767362957876,0.005129476116082506,0.005000000000000004,0.010760000000000006,0.7093099999999999,0.27493,0.01576000000000001,1.0,0.0,0.27,0.07,0.5,0.26,0.17,0.57
Figure 2A,310,0.38,0.15,0.11,0.36,0.18043330000000002,-0.18043330000000002,0.8722599074350367,0.04267110188852096,0.005172448884700233,0.005440000000000004,0.01329999999999998,0.7075299999999998,0.27373,0.018739999999999986,1.0,0.0,0.27,0.07,0.5,0.26,0.17,0.57
Figure 2A,320,0.38,0.15,0.11,0.36,0.1805229,-0.1805229,0.8770942932910011,0.04241768974839009,0.005354156504577661,0.005050000000000002,0.010859999999999995,0.7091899999999992,0.2748999999999999,0.015909999999999997,1.0,0.0,0.27,0.07,0.5,0.26,0.17,0.57
Figure 2A,330,0.38,0.15,0.11,0.36,0.18053629999999998,-0.18053629999999998,0.8908947334652989,0.039037253246368295,0.0058836572645561865,0.005040000000000004,0.010450000000000001,0.7094799999999997,0.2750299999999998,0.015490000000000004,1.0,0.0,0.27,0.07,0.5,0.26,0.17,0.57
Figure 2A,340,0.38,0.15,0.11,0.36,0.1805003,-0.1805003,0.8985139479095264,0.041564167202038635,0.004928242594879071,0.004840000000000002,0.010650000000000001,0.7094399999999998,0.27506999999999987,0.015490000000000004,1.0,0.0,0.27,0.07,0.5,0.26,0.17,0.57
Figure 2A,350,0.38,0.15,0.11,0.36,0.1804775,-0.1804775,0.9080849435976532,0.04269881219420487,0.004206149104711349,0.004120000000000002,0.008690000000000007,0.7111199999999995,0.27606999999999987,0.012810000000000009,1.0,0.0,0.27,0.07,0.5,0.26,0.17,0.57
Figure 2A,360,0.38,0.15,0.11,0.36,0.18056709999999998,-0.18056709999999998,0.9201319358453233,0.033781507153050505,0.0057391556396343526,0.005030000000000003,0.009600000000000006,0.7100699999999992,0.2752999999999999,0.01463000000000001,1.0,0.0,0.27,0.07,0.5,0.26,0.17,0.57
Figure 2A,370,0.38,0.15,0.11,0.36,0.1805865,-0.1805865,0.9096928450197054,0.030930434927054808,0.006674318066331548,0.005410000000000003,0.011269999999999994,0.7086199999999998,0.2747,0.016679999999999997,1.0,0.0,0.27,0.07,0.5,0.26,0.17,0.57
Figure 2A,380,0.38,0.15,0.11,0.36,0.18054109999999998,-0.18054109999999998,0.9085019883481529,0.034957849779639706,0.007671071098336033,0.006380000000000004,0.014399999999999984,0.7062499999999997,0.27297,0.020779999999999986,1.0,0.0,0.27,0.07,0.5,0.26,0.17,0.57
Figure 2A,390,0.38,0.15,0.11,0.36,0.18041159999999998,-0.18041159999999998,0.8922703145717104,0.04029517419537747,0.005321522823722189,0.0047500000000000025,0.011289999999999996,0.7092499999999997,0.27470999999999995,0.01604,1.0,0.0,0.27,0.07,0.5,0.26,0.17,0.57
Figure 2A,400,0.38,0.15,0.11,0.36,0.1805268,-0.1805268,0.9001632417770334,0.03148537340675697,0.004036790551314965,0.003860000000000002,0.006990000000000005,0.7123299999999995,0.27682,0.010850000000000007,1.0,0.0,0.27,0.07,0.5,0.26,0.17,0.57
Figure 2A,410,0.38,0.15,0.11,0.36,0.1804112,-0.1804112,0.8958577211316313,0.028792730587409995,0.005011964645416799,0.004220000000000002,0.009920000000000007,0.7103599999999995,0.27549999999999997,0.01414000000000001,1.0,0.0,0.27,0.07,0.5,0.26,0.17,0.57
Figure 2A,420,0.38,0.15,0.11,0.36,0.1804982,-0.1804982,0.8919349034300691,0.03194382114996865,0.00603613782659505,0.005360000000000003,0.012399999999999998,0.7080199999999996,0.27421999999999996,0.01776,1.0,0.0,0.27,0.07,0.5,0.26,0.17,0.57
Figure 2A,430,0.38,0.15,0.11,0.36,0.1805667,-0.1805667,0.8995426603539564,0.029275972388257278,0.005628132384553773,0.005010000000000003,0.010100000000000005,0.7096499999999996,0.2752399999999999,0.015110000000000009,1.0,0.0,0.27,0.07,0.5,0.26,0.17,0.57
Figure 2A,440,0.38,0.15,0.11,0.36,0.1806084,-0.1806084,0.886375071664071,0.029207736367465334,0.004957283342855692,0.004460000000000002,0.007730000000000006,0.71143,0.27638000000000007,0.012190000000000008,1.0,0.0,0.27,0.07,0.5,0.26,0.17,0.57
Figure 2A,450,0.38,0.15,0.11,0.36,0.18045429999999998,-0.18045429999999998,0.8994040591121135,0.029831318367515874,0.0033154471754275956,0.0032800000000000017,0.006280000000000004,0.71317,0.27727,0.009560000000000006,1.0,0.0,0.27,0.07,0.5,0.26,0.17,0.57
Figure 2A,460,0.38,0.15,0.11,0.36,0.18052569999999998,-0.18052569999999998,0.9060057269508782,0.03033602805672038,0.004708983827936127,0.004160000000000002,0.008000000000000005,0.7115099999999996,0.2763300000000003,0.012160000000000008,1.0,0.0,0.27,0.07,0.5,0.26,0.17,0.57
Figure 2A,470,0.38,0.15,0.11,0.36,0.1805888,-0.1805888,0.921930279158154,0.0321719136507955,0.005280355870850651,0.004570000000000003,0.008560000000000007,0.7108199999999997,0.27605000000000024,0.01313000000000001,1.0,0.0,0.27,0.07,0.5,0.26,0.17,0.57
Figure 2A,480,0.38,0.15,0.11,0.36,0.180457,-0.180457,0.9273649632956338,0.03573197083049359,0.004876309725776808,0.004290000000000003,0.009280000000000007,0.7107199999999995,0.2757099999999998,0.01357000000000001,1.0,0.0,0.27,0.07,0.5,0.26,0.17,0.57
Figure 2A,490,0.38,0.15,0.11,0.36,0.18058519999999997,-0.18058519999999997,0.9234582117874223,0.04040381280637518,0.0053750447612345405,0.004750000000000003,0.008630000000000006,0.7107899999999993,0.2758300000000001,0.01338000000000001,1.0,0.0,0.27,0.07,0.5,0.26,0.17,0.57
Figure 2A,499,0.38,0.15,0.11,0.36,0.1804373,-0.1804373,0.9246549794990522,0.03711939400944163,0.004251365057443539,0.003970000000000002,0.008760000000000007,0.711209999999999,0.27605999999999997,0.012730000000000009,1.0,0.0,0.27,0.07,0.5,0.26,0.17,0.57
