target_name,generation,X_L,X_F,X_B,X_C,mean_risk,mean_fitness,p_F_given_L,p_L_given_F,p_L_given_B,f_L,f_F,f_B,f_C,CM,expected_p_F_given_L,expected_p_L_given_F,expected_p_L_given_B,expected_f_L,expected_f_F,expected_f_B,expected_f_C,expected_CM
Figure 1B,300,0.45,0.22,0.24,0.09,0.19852089999999997,-0.19852089999999997,0.9073500477505315,0.03606087776791263,0.0014595223913292162,0.0015800000000000007,0.004270000000000003,0.7159799999999994,0.27817,0.005850000000000004,1.0,0.0,0.0,0.0,0.0,0.49,0.51,0.0
Figure 1B,310,0.45,0.22,0.24,0.09,0.1985925,-0.1985925,0.910253554110882,0.034431450086475676,0.0019527206617699874,0.001870000000000001,0.004560000000000003,0.7155099999999999,0.27806000000000014,0.006430000000000004,1.0,0.0,0.0,0.0,0.0,0.49,0.51,0.0
Figure 1B,320,0.45,0.22,0.24,0.09,0.19852069999999997,-0.19852069999999997,0.9194796721236852,0.031748780173302266,0.001965437880998956,0.0018500000000000012,0.002840000000000002,0.7165699999999995,0.27873999999999993,0.004690000000000003,1.0,0.0,0.0,0.0,0.0,0.49,0.51,0.0
Figure 1B,330,0.45,0.22,0.24,0.09,0.19866779999999998,-0.19866779999999998,0.9054293175631496,0.027889610217731464,0.0021457284011452415,0.002130000000000001,0.004800000000000004,0.7151799999999997,0.2778899999999999,0.006930000000000005,1.0,0.0,0.0,0.0,0.0,0.49,0.51,0.0
Figure 1B,340,0.45,0.22,0.24,0.09,0.19858209999999998,-0.19858209999999998,0.909634594859612,0.03111277779401288,0.001496191324655949,0.0017400000000000004,0.004840000000000003,0.7155099999999998,0.2779100000000001,0.006580000000000003,1.0,0.0,0.0,0.0,0.0,0.49,0.51,0.0
Figure 1B,350,0.45,0.22,0.24,0.09,0.19847659999999998,-0.19847659999999998,0.9174010984613403,0.02828869246250037,0.0015913694618753,0.0015700000000000006,0.0035300000000000028,0.7163499999999994,0.2785500000000001,0.005100000000000004,1.0,0.0,0.0,0.0,0.0,0.49,0.51,0.0
Figure 1B,360,0.45,0.22,0.24,0.09,0.1986533,-0.1986533,0.9193219565230278,0.028872243050657994,0.0023595363405543436,0.0021500000000000013,0.004310000000000003,0.7154599999999993,0.2780799999999999,0.006460000000000004,1.0,0.0,0.0,0.0,0.0,0.49,0.51,0.0
Figure 1B,370,0.45,0.22,0.24,0.09,0.19854979999999997,-0.19854979999999997,0.9178766792836758,0.02657014096224784,0.0020916013670416282,0.0019800000000000013,0.0030500000000000024,0.7162699999999999,0.27869999999999995,0.005030000000000003,1.0,0.0,0.0,0.0,0.0,0.49,0.51,0.0
Figure 1B,380,0.45,0.22,0.24,0.09,0.1986685,-0.1986685,0.9121451745863641,0.024989998566800016,0.0022240180610207517,0.002300000000000001,0.0043000000000000035,0.7152099999999997,0.27819000000000005,0.006600000000000004,1.0,0.0,0.0,0.0,0.0,0.49,0.51,0.0
Figure 1B,390,0.45,0.22,0.24,0.09,0.19851359999999998,-0.19851359999999998,0.9180551250630192,0.026460393014823377,0.002171133264364763,0.0019100000000000009,0.002700000000000002,0.7164999999999998,0.2788899999999998,0.004610000000000003,1.0,0.0,0.0,0.0,0.0,0.49,0.51,0.0
